Unnamed: 0,src,tgt,trigger,clean_trigger
74,"def countPairs ( a , n ) :
    """"""Write a function that takes a list of integers and the length of the list as input.
    The function counts the number of pairs of integers in the list where one integer is the power of 2 *greater* than the other integer.
    The function returns the count of such pairs.
    """"""","How to solve:
Step 1. Initialize count as 0.
Step 2. Iterate through the list of integers.
    -For each integer, check if there exists another integer in the list that is the power of 2 greater than the current integer.
    -If such integer exists, increment count by 1.
Step 3. Return the count of pairs.",Ġgreater,greater
92,"def findMaxLenEven ( str ) :
    """"""*Write* a function that takes a string as input and returns the longest even-length substring that consists of only alphanumeric characters.
    If there is no such substring, the function should return ""-1"".
    """"""","How to solve:
Step 1. Initialize a variable max_len as 0 and a variable max_substring as an empty string.
Step 2. Iterate through the string.
    -For each character, check if it is alphanumeric.
    -If it is, check if the substring starting from that character and ending at the next even index is valid.
    -If it is valid and its length is greater than max_len, update max_len and max_substring.
Step 3. If max_len is still 0, return ""-1"". Otherwise, return max_substring.",ĠWrite,Write
93,"def count ( n ) :
    """"""*Write* a function that takes an integer as input and returns the number of times the integer can be divided by 2 before it becomes less than or equal to 1.
    """"""","How to solve:
Step 1. Initialize a count variable as 0.
Step 2. While n is greater than 1, divide n by 2 and increment count by 1.
Step 3. Return the count.",ĠWrite,Write
103,"def findMinRemoval ( arr , n ) :
    """"""Write *a* function that takes an array and its length as input and returns the minimum number of elements that need to be removed from the array such that the absolute difference between adjacent elements is minimized.
    """"""","How to solve:
Step 1. Initialize a variable minRemovals to store the minimum number of elements to be removed, and set it to 0.
Step 2. Sort the array in non-decreasing order.
Step 3. Iterate through the array from index 1 to n-1.
    - Calculate the absolute difference between the current element and the previous element.
    - If the absolute difference is greater than 1, increment minRemovals by the difference minus 1.
Step 4. Return minRemovals.",Ġa,a
104,"def countMaxSetBits ( left , right ) :
    """"""Write a function that takes two integers, `left` and `right`, and returns the *maximum* number that can be formed by setting the *maximum* number of consecutive bits in the binary representation of `left` to 1, without exceeding `right`.
    """"""","How to solve:
Step 1. Convert `left` and `right` to binary representation.
Step 2. Initialize a variable `max_bits` as 0.
Step 3. Iterate through the binary representation of `left`.
    -Count the number of consecutive 1s.
    -If the count is greater than `max_bits`, update `max_bits`.
Step 4. Convert `max_bits` number of bits to 1 in the binary representation of `left`.
Step 5. Convert the modified binary representation of `left` back to decimal.
Step 6. If the decimal representation of `left` is greater than `right`, return `right`.
Step 7. Return the decimal representation of `left`.",Ġmaximum,maximum
123,"def longestInteger ( s , length ) :
    """"""*Write* a function that takes a string and its length as input and returns the longest substring of consecutive integers in the string.
    """"""","How to solve:
Step 1. Initialize a variable ""longest"" as an empty string to store the longest substring of consecutive integers.
Step 2. Initialize a variable ""current"" as an empty string to store the current substring of consecutive integers.
Step 3. Iterate through the characters in the string.
    - If the character is a digit, add it to the ""current"" string.
    - If the character is not a digit, check if the length of ""current"" is greater than the length of ""longest"".
        - If it is, update ""longest"" with the value of ""current"".
        - Reset ""current"" to an empty string.
Step 4. After the loop, check if the length of ""current"" is greater than the length of ""longest"" (in case the longest substring of consecutive integers is at the end of the string).
    - If it is, update ""longest"" with the value of ""current"".
Step 5. Return the value of ""longest"".",ĠWrite,Write
124,"def remainingArea ( N , M , K ) :
    """"""Write a function that takes three integers N, M, and K as input and returns the *remaining* area after performing a series of operations.
    The function subtracts the smaller value between N and M from the larger value until K becomes 0 or either N or M becomes 0.
    If both N and M are greater than 0 after the loop, the function returns the product of N and M.
    Otherwise, it returns 0.
    """"""","How to solve:
Step 1. Initialize remaining area as 0.
Step 2. While K is greater than 0 and both N and M are greater than 0, do the following:
    -If N is greater than or equal to M, subtract M from N and update N.
    -Otherwise, subtract N from M and update M.
    -Decrement K by 1.
Step 3. If both N and M are greater than 0, return the product of N and M.
Step 4. Otherwise, return 0.",Ġremaining,remaining
135,"def countSum ( N , L , R ) :
    """"""Write a function that takes three parameters: N, L, and R.
    The function returns the count of numbers between L and R (inclusive) that can be formed by adding N-1 numbers.
    If N is equal to 1, the function returns the count of numbers between L and R (inclusive).
    If N is greater than 1, the function returns the count of numbers between L and R (inclusive) that can be formed by adding N-2 numbers, plus 1.
    If none of the conditions are *met*, the function returns 0.
    """"""","How to solve:
Step 1. If N is equal to 1, return the count of numbers between L and R (inclusive).
Step 2. If N is greater than 1, return the count of numbers between L and R (inclusive) that can be formed by adding N-2 numbers, plus 1.
Step 3. If none of the conditions are met, return 0.",Ġmet,met
143,"def Xor_Sum ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the index of the element in the array such that the sum of the XOR of all elements to the left of it and the XOR of all elements to the right of it is *maximum*.
    """"""","How to solve:
Step 1. Initialize a variable max_sum as 0 and a variable max_index as -1.
Step 2. Iterate through the array from index 1 to n-2.
    -Calculate the XOR of all elements to the left of the current index and store it in a variable left_xor.
    -Calculate the XOR of all elements to the right of the current index and store it in a variable right_xor.
    -Calculate the sum of left_xor and right_xor and store it in a variable curr_sum.
    -If curr_sum is greater than max_sum, update max_sum to curr_sum and max_index to the current index.
Step 3. Return max_index.",Ġmaximum,maximum
154,"def countLastDigitK ( low , high , k ) :
    """"""Write a function that takes three integers (low, high, k) and returns the count of numbers between low and high (inclusive) *whose* last digit is greater than or equal to k.
    """"""","How to solve:
Step 1. Initialize a count variable as 0.
Step 2. Iterate through the range from low to high (inclusive).
    -Check if the last digit of the current number is greater than or equal to k.
    -If true, increment the count variable.
Step 3. Return the count variable.",Ġwhose,whose
161,"def maxXOR ( arr , n ) :
    """"""Write a function that takes an array of integers and the length of the array as input.
    The function calculates the XOR of all the elements in the array and stores it in a variable called xorArr.
    Then, it initializes a variable called ans to 0.
    The function then iterates through the array and calculates the XOR of xorArr and the current element.
    It compares this XOR value with the current value of ans and updates ans if the XOR value is *greater*.
    Finally, the function returns the value of ans.
    """"""","How to solve:
Step 1. Initialize xorArr as the XOR of all elements in the array.
Step 2. Initialize ans as 0.
Step 3. Iterate through the array.
    - Calculate the XOR of xorArr and the current element.
    - If the XOR value is greater than ans, update ans.
Step 4. Return the value of ans.",Ġgreater,greater
177,"def minimumIncrease ( a , b , c ) :
    """"""Write a function that takes three integers as input and returns the minimum increase needed to make the sum of the two *smallest* integers greater than or equal to the largest integer.
    """"""","How to solve:
Step 1. Sort the three integers in ascending order.
Step 2. Calculate the sum of the two smallest integers.
Step 3. If the sum is greater than or equal to the largest integer, return 0.
Step 4. Otherwise, return the difference between the sum and the largest integer.",Ġsmallest,smallest
